sugarName,addedSugar,image_link
Cane juice,Yes,https://redcliffelabs.com/myhealth/wp-content/uploads/2022/02/Sugarcane-Sugarcane-Juice-Natural-Juice-Healthy-5388628-1200x900.jpg
Corn syrup,Yes,https://parade.com/.image/t_share/MTkwNTgxMzM3NTk3NjgzNTgw/corn-syrup.jpg
Dextrose,Yes,https://thesugarbreakup.files.wordpress.com/2014/07/dextrose_rms_together_2014_noshadow_13july2014_.jpg?w=640
Fructose,Yes,https://www.news-medical.net/images/news/ImageForNews_735899_1673881356810424.jpg
Fruit juice concentrates,Yes,https://static.toiimg.com/thumb/70478287.cms?width=680&height=512&imgsize=137432
Fruit nectars (such as agave nectar),Yes,https://cdn-prod.medicalnewstoday.com/content/images/articles/320/320834/bottles-of-fruit-juice.jpg
Glucose,Yes,https://assets.nutrisense.io/62e18da95149ec2ee0d87b5b/630f6c02ba1f6d59f4fd2a70_7-supplements-to-lower-blood-sugar-6.webp
Honey,Yes,https://assets.bonappetit.com/photos/608c1f0b6863f9a7d9726bdf/16:9/w_2560%2Cc_limit/Basically-HONEY.jpg
Malt syrup,Yes,https://cdn.shopify.com/s/files/1/0433/8509/4295/products/country-life-natural-foods-other-sweeteners-5-gal-malt-syrup-corn-barley-32363279384760_1000x.jpg?v=1661212326
Maple syrup and syrup,Yes,https://whistlingwellfarm.com/wp-content/uploads/2020/09/Maple-Syrup-Featured-Image.jpg
Molasses,Yes,https://m.media-amazon.com/images/I/7173I1zX4hL.jpg
Raw sugar,Yes,https://www.motherjones.com/wp-content/uploads/sugar-master.gif?w=990
Sugar,Yes,https://redcliffelabs.com/myhealth/wp-content/uploads/2022/02/Sugarcane-Sugarcane-Juice-Natural-Juice-Healthy-5388628-1200x900.jpg
Sucrose,Yes,https://nibble.com.hr/wp-content/uploads/2021/01/sugar-on-spoon.jpg
Sugar cane,Yes,https://m.media-amazon.com/images/I/41-S8XItikL.jpg
Sugar Alcohol,No,https://healthjade.com/wp-content/uploads/2017/07/xylitol-sweetener.jpg
